"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MORF4L2",513.280028145889,-5.97913608349081,1.19132595531991,-5.01889181276606,5.19704059860777e-07,0.000244823920866081
"TMEM163",31.6631844914609,8.80396438654099,1.78062569350554,4.94430941811724,7.6414254092167e-07,0.000332284444910016
"POC1B-GALNT4",25.0388879269409,-7.73081159052906,1.56206025687613,-4.9491122743174,7.45527340987227e-07,0.000332284444910016
"GBP3",10304.3356500847,-1.08178761509127,0.218384684999283,-4.95358735936463,7.28576258763791e-07,0.000332284444910016
"PMEPA1",1039.9375042129,2.47286407526802,0.507317367277319,4.87439270715181,1.09143683926715e-06,0.00046274193392829
"IKZF2",2227.28790591177,-2.32110858264429,0.477904239382969,-4.85684869764101,1.19268657717431e-06,0.000493335894202418
"COL11A1",1054.69362133864,6.28161797349988,1.29768581434221,4.8406308399726,1.29427607584071e-06,0.000510456464422853
"APOL1",5142.49063084595,-2.45895480724156,0.507545714230536,-4.84479474123715,1.26742638577883e-06,0.000510456464422853
"TRIM38",3028.11375346388,-1.26023079569664,0.260679692048744,-4.83440342357393,1.33545517996655e-06,0.000514726918114833
"F2R",1187.7345365334,1.51260461653718,0.314595770027507,4.80808949339948,1.52379551700398e-06,0.000574267737174899
"ADAMTS12",953.083438579909,2.62108552537654,0.546577968799872,4.79544671573882,1.6231271172297e-06,0.000598404625676056
"KLF4",2129.10731059863,-2.35310808798214,0.493467409847607,-4.76851771975951,1.85586351744438e-06,0.000669650838134876
"GPR1",34.105142538161,-8.1749628874141,1.73200060817294,-4.71995382036136,2.35898191497592e-06,0.000833457797834929
"EDARADD",916.659280346343,-2.05050032450942,0.437171812921112,-4.69037633238132,2.72703011598567e-06,0.000943830688510224
"KRBOX4",1589.63638664703,-1.55553294886053,0.332112811111749,-4.68374870470481,2.81675310100079e-06,0.000955386316797446
"FOS",20645.9583546586,-2.62277691689762,0.560645639596779,-4.67813665470393,2.89493596814654e-06,0.000962651354584258
"LRRC8B",1516.18964335487,-1.68230819806123,0.360601573198219,-4.66528246990337,3.08193377282263e-06,0.00100512528564036
"LOXL2",1049.65362330556,2.26461348964247,0.486582954826355,4.65411594709608,3.25373681641413e-06,0.00104113438999183
"SFRP2",645.513586504917,3.16770576048571,0.685447067069985,4.62137182091448,3.81210837642586e-06,0.00119721381399641
"JARID2",2667.88381231775,-1.165106027993,0.252623382028361,-4.61202766995731,3.98759896561687e-06,0.00122955801559812
"COL6A3",41853.3247754315,2.62375055245052,0.57248575339896,4.58308444685793,4.58166899084353e-06,0.00138750936456635
"FXYD3",5766.48455555086,-1.46033641102837,0.320445399918537,-4.55720822143061,5.18380285459462e-06,0.00154231776510649
"MOV10L1",701.702101383488,5.47343084562242,1.20223123539132,4.55272719963965,5.2954922098492e-06,0.00154838366184194
"AQP3",16949.1611362501,-2.52708187122978,0.556483480043489,-4.54116242773692,5.59449079629234e-06,0.00160808422736139
"NGFR",90.2568050732161,-5.96345763640428,1.32681666830637,-4.49456038566083,6.97138189510018e-06,0.00197046109265007
"SLC52A1",371.853854529132,-2.47209332637823,0.554974500129061,-4.45442687151092,8.41175932149887e-06,0.00231778028555579
"NEFH",3766.89962660586,6.89387623924471,1.54819168124513,4.45285704784327,8.47351717108666e-06,0.00231778028555579
"KRT15",48625.9659921375,-3.86868399915188,0.870561802070848,-4.44389357533176,8.8345317538099e-06,0.00237225597160574
"CROT",1665.32829248706,-1.45002623858626,0.326505869770859,-4.44104187040767,8.9524371827801e-06,0.00237225597160574
"GAL",153.978789944527,7.3837970058832,1.67072639395257,4.41951299303698,9.89235741507806e-06,0.0025809921446509
"NT5E",2087.29071377623,3.58788194021467,0.828124591338051,4.33253882053848,1.473996621064e-05,0.00378750131767035
"C1orf186",410.891523009761,-4.56012730375761,1.06106767854391,-4.29767808026669,1.72596583755655e-05,0.00436875442374948
"YTHDC1",11538.6869997781,-1.17795796188718,0.274382162285742,-4.29312879552444,1.7617274068846e-05,0.00438183212531042
"NTM",199.650452969575,2.79361538716847,0.651118309559503,4.29048814348105,1.78280804673872e-05,0.00438183212531042
"ARHGAP42",1921.34898447067,3.15488471164867,0.736566507407556,4.28323128993838,1.84198519539336e-05,0.00439975027164451
"KIF26B",1812.30348930272,2.02315848918489,0.472245668405796,4.28412291427606,1.83461473960317e-05,0.00439975027164451
"SULF1",7381.39417045794,2.57612644094252,0.605059439702547,4.25764193053325,2.06594498650384e-05,0.0048661612536276
"MX1",15430.7066634163,-1.82382693302468,0.428911822575815,-4.25221884086045,2.11662869269255e-05,0.00491724739717437
"C11orf24",2041.37663385759,1.74466610678702,0.414147409282488,4.21266937250595,2.52370342631337e-05,0.00563151136932216
"MMP11",2608.05162357662,2.24504539197472,0.532901758701178,4.21286917394772,2.52147122001297e-05,0.00563151136932216
"TRAFD1",2636.08576011018,-0.949912173702875,0.225475488470634,-4.21292877618754,2.52080570021794e-05,0.00563151136932216
"ACTN1",9884.54951559235,1.50251426339775,0.357948251682937,4.19757396867704,2.69789552191074e-05,0.00594202729299796
"ITGA5",3694.78860230408,2.05195731490001,0.491529795988931,4.17463464401296,2.98464656747176e-05,0.0064893104022761
"KCNJ2",1672.97882827509,-2.0686035683615,0.499347664247446,-4.1426118844053,3.43372760044748e-05,0.00737121346531505
"MUC12",2523.90225809534,1.86958748813212,0.4527528658889,4.12937747939269,3.63746777469633e-05,0.00771097699888439
"SRI",5055.82050338487,0.74473736229041,0.180596051637811,4.12377433247542,3.72714072045452e-05,0.00780352833064051
"TENM3",752.441235633522,1.69704794549231,0.414098380768836,4.09817575799617,4.16419043200556e-05,0.00861225677272954
"PHACTR4",4996.66583767292,-0.758467886250198,0.185567652328603,-4.08728502372335,4.36450786719447e-05,0.00881162963330368
"HLA-E",27366.591911412,-1.00328613540567,0.245383702877176,-4.08864208845953,4.33905734184879e-05,0.00881162963330368
"SLC39A4",688.87556558492,2.10297835398304,0.51760155532614,4.06292896986747,4.84607793568101e-05,0.00966878067190755
"RBM20",62.9075729006893,-5.74882898354877,1.42554578678687,-4.03272138771946,5.51346326198585e-05,0.0108724213325602
"ADAM19",1421.5153460004,1.35777092077871,0.336981255204752,4.02921794553147,5.59627167408838e-05,0.0108889814134794
"KCNN4",544.070427226077,2.71810728253577,0.676303011417173,4.01906724744587,5.84289939634779e-05,0.0108889814134794
"KIAA1549",329.758009753211,2.67180387401305,0.663627036276132,4.02606242356487,5.6718637621917e-05,0.0108889814134794
"CD63",10314.9900451285,0.832250025975858,0.206823824669434,4.02395626957408,5.72285482268586e-05,0.0108889814134794
"GBP4",4373.17028688213,-1.61245252719346,0.401130750736969,-4.01976792911294,5.82554971846841e-05,0.0108889814134794
"C21orf91",528.739353266551,-1.51354623893914,0.377691205303164,-4.00736426394745,6.14001276325614e-05,0.0113183126578327
"KRT31",437.385548406444,-4.99326521942778,1.24815632876737,-4.00051267965683,6.32054002116501e-05,0.0114031955552061
